id,label
10000,1
10001,1
10002,1
10003,1
10004,0
10005,1
10006,0
10007,1
10008,0
10009,0
10010,1
10011,1
10012,0
10013,1
10014,1
10015,0
10016,1
10017,1
10018,1
10019,1
10020,1
10021,1
10022,1
10023,1
10024,0
10025,1
10026,1
10027,1
10028,1
10029,1
10030,1
10031,0
10032,1
10033,1
10034,0
10035,1
10036,0
10037,1
10038,1
10039,1
10040,0
10041,1
10042,0
10043,1
10044,0
10045,1
10046,1
10047,1
10048,1
10049,1
10050,0
10051,1
10052,1
10053,1
10054,1
10055,1
10056,1
10057,1
10058,1
10059,1
10060,0
10061,1
10062,1
10063,0
10064,1
10065,0
10066,1
10067,1
10068,1
10069,1
10070,1
10071,1
10072,1
10073,0
10074,1
10075,0
10076,1
10077,1
10078,1
10079,1
10080,1
10081,1
10082,0
10083,1
10084,1
10085,1
10086,0
10087,0
10088,1
10089,1
10090,0
10091,1
10092,1
10093,1
10094,1
10095,1
10096,0
10097,1
10098,1
10099,0
10100,1
10101,1
10102,1
10103,1
10104,1
10105,1
10106,1
10107,1
10108,0
10109,1
10110,1
10111,1
10112,1
10113,1
10114,1
10115,1
10116,1
10117,1
10118,1
10119,1
10120,1
10121,1
10122,0
10123,0
10124,0
10125,1
10126,1
10127,1
10128,1
10129,1
10130,0
10131,0
10132,1
10133,1
10134,0
10135,1
10136,0
10137,1
10138,1
10139,1
10140,1
10141,1
10142,1
10143,1
10144,1
10145,1
10146,1
10147,1
10148,0
10149,1
10150,0
10151,1
10152,1
10153,1
10154,1
10155,1
10156,1
10157,0
10158,1
10159,0
10160,1
10161,1
10162,1
10163,1
10164,1
10165,0
10166,1
10167,0
10168,1
10169,0
10170,1
10171,1
10172,1
10173,1
10174,1
10175,0
10176,0
10177,1
10178,0
10179,1
10180,1
10181,0
10182,1
10183,0
10184,1
10185,1
10186,0
10187,1
10188,1
10189,1
10190,1
10191,1
10192,0
10193,1
10194,1
10195,0
10196,1
10197,1
10198,1
10199,1
10200,1
10201,0
10202,1
10203,1
10204,1
10205,1
10206,0
10207,1
10208,0
10209,1
10210,0
10211,0
10212,0
10213,1
10214,1
10215,0
10216,1
10217,1
10218,0
10219,1
10220,0
10221,1
10222,0
10223,1
10224,1
10225,1
10226,1
10227,1
10228,1
10229,1
10230,0
10231,1
10232,0
10233,1
10234,0
10235,1
10236,1
10237,0
10238,1
10239,0
10240,1
10241,0
10242,0
10243,0
10244,1
10245,0
10246,0
10247,1
10248,1
10249,1
10250,1
10251,1
10252,1
10253,1
10254,0
10255,0
10256,1
10257,1
10258,1
10259,1
10260,1
10261,0
10262,1
10263,0
10264,1
10265,1
10266,0
10267,1
10268,0
10269,0
10270,1
10271,0
10272,1
10273,1
10274,1
10275,0
10276,0
10277,1
10278,0
10279,1
10280,0
10281,1
10282,1
10283,1
10284,0
10285,1
10286,1
10287,0
10288,0
10289,1
10290,1
10291,1
10292,1
10293,1
10294,1
10295,0
10296,1
10297,1
10298,0
10299,0
10300,1
10301,1
10302,1
10303,1
10304,1
10305,0
10306,1
10307,1
10308,1
10309,0
10310,1
10311,1
10312,1
10313,1
10314,1
10315,0
10316,1
10317,1
10318,1
10319,1
10320,1
10321,1
10322,1
10323,1
10324,1
10325,1
10326,1
10327,1
10328,1
10329,1
10330,1
10331,0
10332,1
10333,1
10334,1
10335,1
10336,1
10337,0
10338,1
10339,0
10340,1
10341,1
10342,1
10343,0
10344,0
10345,1
10346,1
10347,1
10348,1
10349,1
10350,0
10351,1
10352,0
10353,1
10354,0
10355,1
10356,1
10357,1
10358,1
10359,1
10360,0
10361,0
10362,1
10363,1
10364,0
10365,1
10366,0
10367,0
10368,1
10369,0
10370,1
10371,1
10372,0
10373,1
10374,0
10375,1
10376,1
10377,1
10378,1
10379,1
10380,0
10381,0
10382,1
10383,0
10384,1
10385,1
10386,1
10387,0
10388,0
10389,1
10390,1
10391,1
10392,1
10393,0
10394,0
10395,1
10396,1
10397,1
10398,1
10399,1
10400,0
10401,0
10402,0
10403,0
10404,1
10405,1
10406,1
10407,0
10408,0
10409,1
10410,1
10411,0
10412,0
10413,1
10414,1
10415,1
10416,0
10417,1
10418,1
10419,1
10420,0
10421,1
10422,1
10423,0
10424,0
10425,0
10426,1
10427,0
10428,0
10429,1
10430,1
10431,1
10432,1
10433,1
10434,1
10435,0
10436,1
10437,1
10438,1
10439,0
10440,1
10441,1
10442,1
10443,1
10444,1
10445,1
10446,0
10447,1
10448,1
10449,1
10450,1
10451,1
10452,1
10453,0
10454,0
10455,1
10456,0
10457,1
10458,0
10459,0
10460,1
10461,0
10462,1
10463,0
10464,1
10465,1
10466,1
10467,0
10468,1
10469,0
10470,0
10471,1
10472,1
10473,0
10474,0
10475,0
10476,1
10477,0
10478,1
10479,1
10480,1
10481,0
10482,1
10483,1
