StudentID,label
10000,0
10001,1
10002,0
10003,1
10004,0
10005,1
10006,0
10007,0
10008,0
10009,0
10010,1
10011,0
10012,0
10013,1
10014,1
10015,0
10016,0
10017,1
10018,0
10019,0
10020,0
10021,0
10022,1
10023,1
10024,0
10025,1
10026,0
10027,0
10028,0
10029,0
10030,0
10031,0
10032,1
10033,0
10034,0
10035,0
10036,0
10037,0
10038,1
10039,0
10040,0
10041,1
10042,0
10043,0
10044,0
10045,0
10046,1
10047,1
10048,0
10049,0
10050,0
10051,1
10052,1
10053,1
10054,0
10055,0
10056,0
10057,0
10058,0
10059,0
10060,0
10061,1
10062,0
10063,0
10064,0
10065,0
10066,0
10067,1
10068,0
10069,1
10070,1
10071,0
10072,0
10073,0
10074,0
10075,1
10076,0
10077,1
10078,0
10079,1
10080,1
10081,1
10082,0
10083,0
10084,1
10085,0
10086,0
10087,0
10088,0
10089,1
10090,0
10091,1
10092,1
10093,1
10094,0
10095,0
10096,0
10097,1
10098,1
10099,0
10100,0
10101,0
10102,0
10103,1
10104,1
10105,0
10106,1
10107,0
10108,0
10109,0
10110,1
10111,0
10112,1
10113,0
10114,0
10115,1
10116,0
10117,0
10118,0
10119,0
10120,0
10121,1
10122,0
10123,0
10124,0
10125,1
10126,1
10127,0
10128,0
10129,1
10130,0
10131,0
10132,1
10133,0
10134,0
10135,0
10136,0
10137,0
10138,1
10139,0
10140,1
10141,0
10142,0
10143,0
10144,1
10145,1
10146,1
10147,0
10148,0
10149,0
10150,0
10151,0
10152,0
10153,1
10154,1
10155,0
10156,0
10157,0
10158,0
10159,0
10160,0
10161,0
10162,0
10163,1
10164,1
10165,0
10166,0
10167,0
10168,0
10169,0
10170,0
10171,0
10172,1
10173,1
10174,0
10175,0
10176,0
10177,1
10178,1
10179,1
10180,0
10181,0
10182,0
10183,0
10184,1
10185,0
10186,0
10187,1
10188,0
10189,1
10190,1
10191,1
10192,0
10193,1
10194,1
10195,0
10196,0
10197,0
10198,0
10199,1
10200,1
10201,0
10202,0
10203,1
10204,1
10205,1
10206,0
10207,0
10208,0
10209,1
10210,0
10211,1
10212,0
10213,1
10214,1
10215,0
